PubChem CID|name |Preferred|Canonical<|NumAtoms|MolWt|Log P|TPSA|HBA|HBD|Fsp3|ROTB|NumRings|AROM|NumHeavyAtom|NumStereo|QED|QEPPI|SAscore|NPscore|Lipinski|Ro4|PAINS
290486.0|Triciribine|2-(5-amino-7-methyl-2,6,7,9,11-pentazatricyclo[6.3.1.04,12]dodeca-1(12),3,5,8,10-pentaen-2-yl)-5-(hydroxymethyl)oxolane-3,4-diol|CN1N=C(N)c2cn(C3OC(CO)C(O)C3O)c3ncnc1c23|23|320.3090000000001|-1.8870999999999987|142.25|10|4|0.46153846153846156|2|4|2|23|8|0.5030837169270522|0.2230377496655855|4.206336221285245|0.5141541547619305|1|0|False
400633.0|Capecitabine|pentyl N-[1-(3,4-dihydroxy-5-methyloxolan-2-yl)-5-fluoro-2-oxopyrimidin-4-yl]carbamate|CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F|25|359.35400000000004|0.7601999999999995|122.91000000000001|8|3|0.6666666666666666|6|2|1|25|8|0.640839151584694|0.3477485501574143|3.70159793901294|0.379648786773868|1|0|False
1546.0|Cladribine|5-(6-amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol |Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1|19|285.69100000000003|-0.29740000000000044|119.31000000000002|8|3|0.5|2|3|2|19|6|0.6481668237451135|0.3813779140915048|3.622779613665122|0.7589084087510317|1|0|False
16886.0|Decitabine|4-amino-1-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,3,5-triazin-2-one|Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1|16|228.20799999999997|-2.1388|123.49|8|3|0.625|2|2|1|16|6|0.5273624425093522|0.2441325945298081|3.643221050753482|1.1104565214827065|1|0|False
3385.0|Fluorouracil (5-Fluoracil, 5-FU)|5-fluoro-1H-pyrimidine-2,4-dione|O=c1[nH]cc(F)c(=O)[nH]1|9|130.078|-0.7977000000000001|65.72|2|2|0.0|0|1|1|9|0|0.482564502908463|0.22429291396082054|2.6590876226101727|-0.7992390609873111|1|0|False
248862.0|Nelarabine|2-(2-amino-6-methoxypurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol|COc1nc(N)nc2c1ncn2C1OC(CO)C(O)C1O|21|297.271|-1.9713999999999994|148.76999999999998|10|4|0.5454545454545454|3|3|2|21|8|0.5056130599451503|0.23058502859583221|3.669441345268779|0.8720015392381619|1|0|False
354624.0|Clofarabine|5-(6-amino-2-chloropurin-9-yl)-4-fluoro-2-(hydroxymethyl)oxolan-3-ol|Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F|20|303.681|-0.34940000000000027|119.31000000000002|8|3|0.5|2|3|2|20|8|0.648649936215886|0.3883700063918832|3.8712345426538963|0.6251566198496301|1|0|False
3368.0|Fludarabine Phosphate|[5-(6-amino-2-fluoropurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate|Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O|24|365.21400000000006|-1.7239000000000007|186.07|10|5|0.5|4|3|2|24|8|0.30617189529250766|0.17310948790732877|3.9840913898753945|1.0864995352244873|0|0|False
135605572.0|Entecavir Hydrate|2-amino-9-[4-hydroxy-3-(hydroxymethyl)-2-methylidenecyclopentyl]-1H-purin-6-one|C=C1C(CO)C(O)CC1n1cnc2c(=O)nc(N)[nH]c21|20|277.28399999999993|-0.8278000000000001|130.04999999999998|7|4|0.4166666666666667|2|3|2|20|6|0.5301148369563783|0.3229952345490085|4.052892286880503|0.9583882509483649|1|0|False
2754.0|Cilostazol|6-[4-(1-cyclohexyltetrazol-5-yl)butoxy]-3,4-dihydro-1H-quinolin-2-one|O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1|27|369.4690000000002|3.4647000000000014|81.93|6|1|0.6|7|4|2|27|0|0.755913406639335|0.7771342880231443|2.508630577222638|-1.5209469226199739|1|0|False
3363.0|Floxuridine|5-fluoro-1-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidine-2,4-dione|O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F|17|246.194|-1.6836|104.55000000000001|6|3|0.5555555555555556|2|2|1|17|6|0.5776171321259124|0.3356934148814366|3.473377071505359|0.6963745697774709|1|0|False
5386.0|Tegafur (FT-207, NSC 148958)|5-fluoro-1-(oxolan-2-yl)pyrimidine-2,4-dione|O=c1[nH]c(=O)n(C2CCCO2)cc1F|14|200.16899999999998|-0.015300000000000313|64.09|4|1|0.5|1|2|1|14|2|0.6927125296086032|0.3535172217146212|2.9469611714043964|-0.4032937319470785|1|0|False
5155.0|Stavudine (d4T)|1-[5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methylpyrimidine-2,4-dione|Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O|16|224.21599999999998|-0.7090799999999999|84.32|5|2|0.4|2|2|1|16|4|0.6498890462135971|0.406330949617662|3.582011471393738|0.952976324214325|1|0|False
